110000北京市
150726内蒙古自治区 呼伦贝尔市 新巴尔虎左旗
150727内蒙古自治区 呼伦贝尔市 新巴尔虎右旗
150781内蒙古自治区 呼伦贝尔市 满洲里市
150782内蒙古自治区 呼伦贝尔市 牙克石市
150783内蒙古自治区 呼伦贝尔市 扎兰屯市
150784内蒙古自治区 呼伦贝尔市 额尔古纳市
150785内蒙古自治区 呼伦贝尔市 根河市
150800内蒙古自治区 巴彦淖尔市
150801内蒙古自治区 巴彦淖尔市 市辖区
150802内蒙古自治区 巴彦淖尔市 临河区
150821内蒙古自治区 巴彦淖尔市 五原县
150822内蒙古自治区 巴彦淖尔市 磴口县
150823内蒙古自治区 巴彦淖尔市 乌拉特前旗
150824内蒙古自治区 巴彦淖尔市 乌拉特中旗
150825内蒙古自治区 巴彦淖尔市 乌拉特后旗
150826内蒙古自治区 巴彦淖尔市 杭锦后旗
150900内蒙古自治区 乌兰察布市
150901内蒙古自治区 乌兰察布市 市辖区
150902内蒙古自治区 乌兰察布市 集宁区
150921内蒙古自治区 乌兰察布市 卓资县
150922内蒙古自治区 乌兰察布市 化德县
150923内蒙古自治区 乌兰察布市 商都县
150924内蒙古自治区 乌兰察布市 兴和县
150925内蒙古自治区 乌兰察布市 凉城县
150926内蒙古自治区 乌兰察布市 察哈尔右翼前旗
150927内蒙古自治区 乌兰察布市 察哈尔右翼中旗
150928内蒙古自治区 乌兰察布市 察哈尔右翼后旗
150929内蒙古自治区 乌兰察布市 四子王旗
150981内蒙古自治区 乌兰察布市 丰镇市
152200内蒙古自治区 兴安盟
152201内蒙古自治区 兴安盟 乌兰浩特市
152202内蒙古自治区 兴安盟 阿尔山市
152221内蒙古自治区 兴安盟 科尔沁右翼前旗
152222内蒙古自治区 兴安盟 科尔沁右翼中旗
152223内蒙古自治区 兴安盟 扎赉特旗
152224内蒙古自治区 兴安盟 突泉县
152500内蒙古自治区 锡林郭勒盟
152501内蒙古自治区 锡林郭勒盟 二连浩特市
152502内蒙古自治区 锡林郭勒盟 锡林浩特市
152522内蒙古自治区 锡林郭勒盟 阿巴嘎旗
152523内蒙古自治区 锡林郭勒盟 苏尼特左旗
152524内蒙古自治区 锡林郭勒盟 苏尼特右旗
152525内蒙古自治区 锡林郭勒盟 东乌珠穆沁旗
152526内蒙古自治区 锡林郭勒盟 西乌珠穆沁旗
152527内蒙古自治区 锡林郭勒盟 太仆寺旗
152528内蒙古自治区 锡林郭勒盟 镶黄旗
152529内蒙古自治区 锡林郭勒盟 正镶白旗
152530内蒙古自治区 锡林郭勒盟 正蓝旗
152531内蒙古自治区 锡林郭勒盟 多伦县
152900内蒙古自治区 阿拉善盟
152921内蒙古自治区 阿拉善盟 阿拉善左旗
152922内蒙古自治区 阿拉善盟 阿拉善右旗
152923内蒙古自治区 阿拉善盟 额济纳旗
210000辽宁省
210100辽宁省 沈阳市
210101辽宁省 沈阳市 市辖区
210102辽宁省 沈阳市 和平区
210103辽宁省 沈阳市 沈河区
210104辽宁省 沈阳市 大东区
210105辽宁省 沈阳市 皇姑区
210106辽宁省 沈阳市 铁西区
210111辽宁省 沈阳市 苏家屯区
